230,Justin Fontaine,MIN,R,18,6,0,6,+6,10,0,0,1,0,31,19.4,12:12,17.2,100.0
231,Troy Brouwer,WSH,R,18,5,1,6,-2,22,4,0,0,0,31,16.1,19:00,24.2,46.7
232,Rene Bourque,MTL,R,18,5,1,6,+0,12,3,0,1,0,37,13.5,16:13,20.7,0.0
233,Bryan Bickell,CHI,L,18,5,1,6,+2,10,0,0,0,0,29,17.2,13:26,18.2,50.0
234,Dan Hamhuis,VAN,D,20,4,2,6,+1,8,0,0,0,0,36,11.1,22:07,27.5,0.0
235,Dwight King,LAK,L,17,4,2,6,+1,4,0,1,0,0,22,18.2,14:43,20.3,100.0
236,Dan Boyle,SJS,D,10,4,2,6,+0,4,3,0,0,0,37,10.8,20:32,23.8,0.0
237,Kyle Palmieri,ANA,R,17,4,2,6,-1,9,0,0,2,0,32,12.5,11:01,15.0,25.0
238,Zdeno Chara,BOS,D,17,3,3,6,+0,12,3,0,0,0,38,7.9,24:39,28.4,0.0
239,Jonas Brodin,MIN,D,15,3,3,6,+1,4,2,0,0,0,9,33.3,24:30,28.4,0.0
240,Dougie Hamilton,BOS,D,15,3,3,6,+6,6,2,0,1,0,34,8.8,19:43,24.5,0.0
241,Jiri Tlusty,CAR,L,17,3,3,6,-1,4,0,0,1,0,32,9.4,15:51,21.6,20.0
242,Joakim Andersson,DET,C,18,3,3,6,-5,2,0,0,0,0,17,17.6,14:12,20.7,53.7
243,Tyler Bozak,TOR,C,11,3,3,6,+5,2,2,1,0,0,12,25.0,21:16,28.9,46.2
244,Jamie McGinn,COL,L,13,3,3,6,+3,8,0,0,0,0,20,15.0,14:06,19.9,0.0
245,Nick Foligno,CBJ,L,11,3,3,6,+3,13,0,0,1,0,16,18.8,15:25,18.7,50.0
246,Alexander Edler,VAN,D,17,2,4,6,-7,12,0,0,0,0,49,4.1,24:29,29.5,0.0
247,Drew Stafford,BUF,R,19,2,4,6,-4,6,0,0,0,0,44,4.5,17:00,20.7,40.0
248,Ryan Murphy,CAR,D,16,2,4,6,+0,4,1,0,0,0,28,7.1,19:25,22.1,0.0
249,Grant Clitsome,WPG,D,15,2,4,6,-8,8,0,0,0,0,19,10.5,20:21,25.1,0.0
250,Tyler Kennedy,SJS,R,17,2,4,6,+3,15,0,0,0,0,42,4.8,15:52,23.4,41.1
